Origin,colYear,colMonth,prom_arribades
ABE,1988,5,65.0000
ABE,1988,11,20.0000
ABE,1990,1,-2.0000
ABE,1990,12,-3.0000
ABE,1991,7,9.0000
ABE,1992,6,3.0000
ABE,2005,1,-4.0000
ABE,2006,1,38.0000
ABQ,1987,10,0.0000
ABQ,1989,1,0.0000
ABQ,1990,4,0.0000
ABQ,1991,1,17.0000
ABQ,1993,11,4.0000
ABQ,1994,1,1.0000
ABQ,1995,1,2.0000
ABQ,1995,7,0.0000
ABQ,1995,8,10.0000
ABQ,1995,9,0.0000
ABQ,1996,1,0.0000
ABQ,1996,7,-5.0000
ABQ,1997,9,0.0000
ABQ,1997,10,8.0000
ABQ,1997,11,0.0000
ABQ,1997,12,10.0000
ABQ,1998,1,3.5000
ABQ,1998,3,15.0000
ABQ,1998,8,0.0000
ABQ,1999,4,2.0000
ABQ,1999,10,0.0000
ABQ,2002,6,88.0000
ABQ,2002,7,-3.0000
ABQ,2002,8,39.0000
ABQ,2002,9,6.0000
ABQ,2003,2,-4.0000
ABQ,2003,8,0.0000
ABQ,2004,6,12.0000
ABQ,2004,9,0.0000
ABQ,2005,7,15.0000
ABQ,2006,1,0.0000
ABQ,2006,6,24.5000
ABQ,2006,7,-7.0000
ABQ,2007,1,-7.0000
ABY,2006,1,-3.0000
ABY,2006,3,41.0000
AGS,1988,3,0.0000
AGS,1988,12,50.0000
AGS,2003,9,-4.0000
ALB,1988,3,-2.0000
ALB,1992,12,-3.0000
ALB,1993,10,-1.0000
ALB,1994,10,-4.0000
ALB,2003,3,-9.0000
ALB,2004,10,-10.0000
ALB,2007,6,7.0000
ALB,2008,12,21.0000
AMA,1987,11,0.0000
AMA,1988,6,0.0000
AMA,1989,11,0.0000
AMA,2000,3,0.0000
ANC,1988,10,0.0000
ANC,1992,5,0.0000
ANC,1995,10,-2.0000
ANC,1996,11,16.0000
ANC,1999,9,-3.0000
ANC,1999,10,6.0000
ANC,2000,1,0.0000
ANC,2000,7,1.0000
ANC,2000,9,50.0000
ANC,2004,3,5.0000
ANC,2006,5,6.0000
ANC,2007,4,-11.0000
ANC,2007,7,-10.0000
ANC,2008,8,-9.0000
ASE,2008,3,10.0000
ATL,1987,10,18.0000
ATL,1987,11,3.0000
ATL,1988,1,0.0000
ATL,1988,2,0.0000
ATL,1988,3,0.0000
ATL,1988,6,0.0000
ATL,1988,8,0.0000
ATL,1988,9,0.0000
ATL,1988,12,0.0000
ATL,1989,1,0.0000
ATL,1989,2,-2.0000
ATL,1989,7,42.0000
ATL,1989,9,0.0000
ATL,1989,11,0.0000
ATL,1989,12,51.0000
ATL,1990,3,41.0000
ATL,1990,4,0.0000
ATL,1990,6,2.0000
ATL,1990,7,2.0000
ATL,1990,10,1.0000
ATL,1990,11,0.0000
ATL,1990,12,18.0000
ATL,1991,1,14.0000
ATL,1991,2,-2.0000
ATL,1991,4,-1.0000
ATL,1991,5,2.0000
ATL,1991,8,4.0000
ATL,1991,9,1.0000
ATL,1991,10,2.0000
ATL,1992,2,33.0000
ATL,1992,4,-1.0000
ATL,1992,5,2.0000
ATL,1992,7,3.0000
ATL,1992,8,0.0000
ATL,1992,9,0.0000
ATL,1992,11,5.0000
ATL,1992,12,4.0000
ATL,1993,4,3.0000
ATL,1993,6,3.0000
ATL,1993,8,8.5000
ATL,1993,10,-1.0000
ATL,1993,11,1.3333
ATL,1993,12,4.0000
ATL,1994,1,3.0000
ATL,1994,3,32.5000
ATL,1994,6,11.0000
ATL,1994,7,8.0000
ATL,1994,8,0.3333
ATL,1994,9,2.5000
ATL,1994,10,5.0000
ATL,1994,11,1.0000
ATL,1994,12,28.0000
ATL,1995,3,6.5000
ATL,1995,4,0.0000
ATL,1995,5,3.0000
ATL,1995,8,8.0000
ATL,1995,10,28.0000
ATL,1996,1,10.0000
ATL,1996,5,-3.0000
ATL,1996,6,14.6667
ATL,1996,10,3.0000
ATL,1996,11,-1.0000
ATL,1997,1,-2.3333
ATL,1997,2,0.0000
ATL,1997,3,3.3333
ATL,1997,4,7.0000
ATL,1997,5,1.0000
ATL,1997,7,3.5000
ATL,1997,10,-1.0000
ATL,1998,5,-3.0000
